,Id,Name,Location,Rating,Price,Zipcode,Pickup,Delivery,Reservation,Review Count,Categories,Status
0,uazg6WhYVOw3jhWCG_MDBg,Sup Thai Kitchen,178-19 Union Tpke,4.5,$$,11366,True,True,False,374,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",False
1,cegA4jf16vEt7NCQ7cpu2w,Kin'd,192-03 Union Tpke,4.5,$$,11366,True,True,False,768,"[{'alias': 'thai', 'title': 'Thai'}]",False
2,0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,64-13 39th Ave,4.0,$$,11377,False,False,False,2380,"[{'alias': 'thai', 'title': 'Thai'}]",False
3,gr3wUszE1972q0GBkmwEXQ,Bangkok Cuisine,10718 70th Rd,4.0,$$,11375,True,True,False,421,"[{'alias': 'thai', 'title': 'Thai'}]",False
4,jMb34zhfkqoW866F10hf1Q,Grace Thai Restaurant,5617 Junction Blvd,4.5,,11373,True,True,False,52,"[{'alias': 'thai', 'title': 'Thai'}]",False
5,1ubEg-rrSE8IWXl6lJzIGw,Nur Thai,63-32 Woodhaven Blvd,4.0,$$,11374,True,True,False,561,"[{'alias': 'thai', 'title': 'Thai'}]",False
6,3GMHPnrkFAcqffw3T7JSdQ,Kitchen 79,37-70 79th St,4.5,$$,11372,True,True,False,629,"[{'alias': 'thai', 'title': 'Thai'}]",False
7,-YazuZbXAM_NOny8LpLQpQ,BKNY Thai Restaurant,47-11 Francis Lewis Blvd,4.0,$$,11361,False,True,False,1317,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'salad', 'title': 'Salad'}]",False
8,fRO4Fwe5uRAajMcTwLbVkA,Ayada Thai,7708 Woodside Ave,4.0,$$,11373,True,True,False,1224,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",False
9,1E7lCNaRAM1Da0vkt5rcvw,Thai Mission,70-11 Grand Ave,5.0,,11378,True,True,False,35,"[{'alias': 'thai', 'title': 'Thai'}]",False
10,OVAV0k2O1kqeuRFyt95qzg,Ma Kin,7419 Metropolitan Ave,4.5,,11379,True,True,False,92,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]",False
11,a-Bq_yXFVk2PptoWpmry3w,Pye Boat Noodle,35-13 Broadway,4.5,$$,11106,False,True,False,838,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]",False
12,oNN202L_XcNM-tuDHlgkfg,Boon Chu Thai Place,83-18 Broadway,4.0,$,11373,True,True,False,313,"[{'alias': 'thai', 'title': 'Thai'}]",False
13,hA5QUlrSjpxMZ90Kof0bgA,Khao Kang,7620 Woodside Ave,4.0,$,11373,True,True,False,244,"[{'alias': 'thai', 'title': 'Thai'}]",False
14,PPQSf_1JWkbjFHi1S0nSNA,Lamoon,8140 Broadway,4.5,$$,11373,True,True,False,268,"[{'alias': 'thai', 'title': 'Thai'}]",False
15,Ve_iFpnhL8zN789ZL2jnxQ,UThai,63-55 Wetherole St,4.0,$,11374,True,True,False,219,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'noodles', 'title': 'Noodles'}]",False
16,STx4mlpKJVrjd6eZu4yDIw,Heng Thai,23-06 Jackson Ave,4.5,,11101,True,True,False,11,"[{'alias': 'thai', 'title': 'Thai'}]",False
17,tVB11pOiDhPWlt_o6ylMNg,Enthaice Thai Kitchen,33-20 31st Ave,4.0,$$,11106,True,True,False,696,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",False
18,inftQdKaEEiqQ323AlomXg,Dek Sen,8608 Whitney Ave,4.0,$$,11373,True,True,False,278,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]",False
19,5pzc2GdvdmqiLRSdjHnnKw,Bangkok Avenue,253-21 Northern Blvd,5.0,$$,11362,True,True,False,87,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]",False
20,1svF14BUYt_Wc0XA3nMxdw,Cha Lom Thai,33-47 Francis Lewis Blvd,4.5,$$,11358,True,True,False,59,"[{'alias': 'thai', 'title': 'Thai'}]",False
